[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-32000-C, BTC, 1.000000, BTC-24SEP21, 34457.200000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 32000.000000, 0.400000, 0.219000, 0.226000, 0.600000, 341.600000, 2.600000, 0.653820, 0.000020, 64.221500, -33.310980, 37.825890, 96.650000, 0.059310
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-32000-P, BTC, 1.000000, BTC-24SEP21, 34485.730000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 32000.000000, 0.800000, 0.150500, 0.153500, 0.800000, 928.300000, 45.800000, -0.345550, 0.000020, 64.231270, -33.319250, -43.800710, 96.660000, 0.059960
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-36000-C, BTC, 1.000000, BTC-24SEP21, 34405.470000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 36000.000000, 18.000000, 0.170000, 0.175000, 0.400000, 72.100000, 25.400000, 0.558890, 0.000020, 68.588880, -35.237800, 33.873020, 95.730000, 0.060010
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-36000-P, BTC, 1.000000, BTC-24SEP21, 34489.360000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 36000.000000, 0.400000, 0.216500, 0.221000, 1.200000, 74.200000, 26.800000, -0.439120, 0.000020, 68.704060, -35.298380, -57.842780, 95.730000, 0.057390
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-40000-C, BTC, 1.000000, BTC-24SEP21, 34501.060000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 40000.000000, 18.000000, 0.133000, 0.136000, 0.500000, 854.000000, 87.100000, 0.473390, 0.000020, 69.383900, -35.464550, 29.799810, 95.240000, 0.174520
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-40000-P, BTC, 1.000000, BTC-24SEP21, 34431.230000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 40000.000000, 0.400000, 0.253500, 0.624000, 0.100000, 530.700000, 20.100000, -0.528270, 0.000020, 69.223560, -35.384700, -72.447920, 95.250000, 0.176710
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-44000-C, BTC, 1.000000, BTC-24SEP21, 34439.190000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 44000.000000, 0.600000, 0.103000, 0.105500, 0.600000, 132.500000, 95.800000, 0.394350, 0.000020, 66.965260, -34.253480, 25.468040, 95.310000, 0.294050
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-44000-P, BTC, 1.000000, BTC-24SEP21, 34493.890000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 44000.000000, 0.400000, 0.295500, 0.000000, 0.000000, 17.600000, 15.700000, -0.604400, 0.000020, 67.129940, -34.336180, -86.731220, 95.310000, 0.292310
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-48000-C, BTC, 1.000000, BTC-24SEP21, 34408.110000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 48000.000000, 0.600000, 0.080000, 0.083000, 10.500000, 739.800000, 210.100000, 0.326860, 0.000020, 62.712100, -32.146010, 21.549200, 95.510000, 0.413250
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-48000-P, BTC, 1.000000, BTC-24SEP21, 34489.490000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 48000.000000, 0.100000, 0.261000, 0.000000, 0.000000, 398.600000, 0.100000, -0.671350, 0.000020, 62.999900, -32.295400, -100.814750, 95.520000, 0.409890
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-50000-C, BTC, 1.000000, BTC-24SEP21, 34427.380000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 50000.000000, 30.600000, 0.070500, 0.073500, 10.500000, 1083.500000, 401.900000, 0.297980, 0.000020, 60.290850, -30.960990, 19.830000, 95.690000, 0.471200
